0.0696599,0.284101,0.389932,0.0298496,0.516438,0.46192,0.507593,0.606018
0.650159,0.164341,0.177666,0.338036,0.266171,0.28143,0.18557,0.0276266
3.01859,0.199032,0.190995,0.377131,0.304566,0.377153,0.248244,0.016444
4.96907,0.100642,0.108838,0.16124,0.178066,0.14035,0.135063,0.0301996
5.96753,0.0447258,0.270625,0.0879785,0.381894,0.289113,0.259474,0.355337
7.10531,0.0637012,0.0869205,0.0612309,0.235893,0.174757,0.17446,0.186401
10.031,0.193395,0.147099,0.111648,0.317229,0.192941,0.216057,0.287325
10.6115,0.349006,0.212335,0.306107,0.367916,0.351899,0.303602,0.30765
14.675,0.243263,0.0339809,0.282258,0.270119,0.333783,0.187393,0.140606
16.3933,0.214409,0.0276713,0.155154,0.277556,0.342077,0.31047,0.251692
19.2958,0.309023,0.238251,0.362057,0.289966,0.318358,0.269453,0.0143709 1
19.8531,0.167955,0.13608,0.339059,0.279857,0.349565,0.226417,0.029101 2
23.5915,0.0917009,0.118815,0.143435,0.184665,0.122647,0.135357,0.0525713 3
